episode,reward,steps,epsilon,loss
0,449.85821533203125,500,1.0,
1,466.84112548828125,500,1.0,
2,443.55804443359375,500,1.0,
3,462.22906494140625,500,1.0,
4,449.3272399902344,500,1.0,
5,444.83905029296875,500,1.0,
6,444.62884521484375,500,1.0,
7,440.3115234375,500,1.0,
8,455.23651123046875,500,1.0,
9,445.15374755859375,500,1.0,
10,454.69708251953125,500,1.0,
11,454.08489990234375,500,1.0,
12,444.32550048828125,500,1.0,
13,451.762939453125,500,1.0,
14,467.22344970703125,500,1.0,
15,447.55609130859375,500,1.0,
16,455.5046691894531,500,1.0,
17,447.2176513671875,500,1.0,
18,456.634521484375,500,1.0,
19,462.4303283691406,500,1.0,
20,468.12811279296875,500,1.0,
21,462.7821044921875,500,1.0,
22,454.1986083984375,500,1.0,
23,462.806396484375,500,1.0,
24,454.2371826171875,500,1.0,
25,451.63092041015625,500,1.0,
26,453.5411682128906,500,1.0,
27,439.5338439941406,500,1.0,
28,440.53009033203125,500,1.0,
29,452.5054016113281,500,1.0,
30,444.83416748046875,500,1.0,
31,453.717041015625,500,1.0,
32,456.9835205078125,500,1.0,
33,461.29156494140625,500,1.0,
34,457.40692138671875,500,1.0,
35,451.7283935546875,500,1.0,
36,456.7043151855469,500,1.0,
37,452.3529052734375,500,1.0,
38,452.99139404296875,500,1.0,
39,454.779052734375,500,1.0,
40,455.19561767578125,500,1.0,
41,441.2625732421875,500,1.0,
42,457.00103759765625,500,1.0,
43,453.5986328125,500,1.0,
44,461.12109375,500,1.0,
45,462.0516357421875,500,1.0,
46,448.96533203125,500,1.0,
47,445.6268615722656,500,1.0,
48,452.17425537109375,500,1.0,
49,441.06488037109375,500,1.0,
50,449.5114440917969,500,1.0,
51,450.8753662109375,500,1.0,
52,437.95263671875,500,1.0,
53,453.4949951171875,500,1.0,
54,450.5748291015625,500,1.0,
55,455.716796875,500,1.0,
56,449.27911376953125,500,1.0,
57,453.09375,500,1.0,
58,454.2049560546875,500,1.0,
59,446.19708251953125,500,1.0,
60,454.900146484375,500,1.0,
61,443.821533203125,500,1.0,
62,436.6568603515625,500,1.0,
63,444.4661865234375,500,1.0,
64,446.3265380859375,500,1.0,
65,440.6239013671875,500,1.0,
66,454.75567626953125,500,1.0,
67,441.8555603027344,500,1.0,
68,456.43072509765625,500,1.0,
69,431.0531921386719,500,1.0,
70,461.5539855957031,500,1.0,
71,445.490234375,500,1.0,
72,446.60418701171875,500,1.0,
73,440.5284423828125,500,1.0,
74,444.1625671386719,500,1.0,
75,452.388427734375,500,1.0,
76,446.66033935546875,500,1.0,
77,453.2177734375,500,1.0,
78,450.33062744140625,500,1.0,
79,456.92724609375,500,1.0,
80,437.2523193359375,500,1.0,
81,447.727294921875,500,1.0,
82,439.285888671875,500,1.0,
83,438.7813720703125,500,1.0,
84,439.5132751464844,500,1.0,
85,450.32598876953125,500,1.0,
86,445.0537414550781,500,1.0,
87,425.7884521484375,500,1.0,
88,447.16217041015625,500,1.0,
89,460.48638916015625,500,1.0,
90,455.8038330078125,500,1.0,
91,447.8450012207031,500,1.0,
92,442.50665283203125,500,1.0,
93,447.8775634765625,500,1.0,
94,441.5709533691406,500,1.0,
95,439.73876953125,500,1.0,
96,454.74664306640625,500,1.0,
97,456.0135498046875,500,1.0,
98,426.521484375,500,1.0,
99,458.35150146484375,500,1.0,
100,430.85882568359375,500,1.0,
101,451.618408203125,500,1.0,
102,434.14581298828125,500,1.0,
103,434.9994201660156,500,1.0,
104,456.5714416503906,500,1.0,
105,451.10491943359375,500,1.0,
106,463.686767578125,500,1.0,
107,439.83624267578125,500,1.0,
108,439.8516845703125,500,1.0,
109,435.1352844238281,500,1.0,
110,443.232666015625,500,1.0,
111,447.96380615234375,500,1.0,
112,444.2529602050781,500,1.0,
113,435.25836181640625,500,1.0,
114,461.97076416015625,500,1.0,
115,460.03265380859375,500,1.0,
116,448.2791748046875,500,1.0,
117,456.7332763671875,500,1.0,
118,440.1683349609375,500,1.0,
119,448.57666015625,500,1.0,
120,453.2481689453125,500,1.0,
121,452.76153564453125,500,1.0,
122,447.7201843261719,500,1.0,
123,430.83087158203125,500,1.0,
124,430.49481201171875,500,1.0,
125,440.38201904296875,500,1.0,
126,443.51519775390625,500,1.0,
127,447.43267822265625,500,1.0,
128,447.71942138671875,500,1.0,
129,447.94525146484375,500,1.0,
130,437.53106689453125,500,1.0,
131,444.5625,500,1.0,
132,434.19775390625,500,1.0,
133,430.766357421875,500,1.0,
134,440.08197021484375,500,1.0,
