episode,reward,steps,epsilon,loss
0,78.7939515709877,84,0.9580000000000046,
1,28.28541511297226,34,0.9410000000000065,
2,26.1883202791214,31,0.9255000000000082,
3,52.39924609661102,58,0.8965000000000114,
4,34.08642095327377,39,0.8770000000000135,
5,69.27342307567596,75,0.8395000000000177,
6,62.19743424654007,68,0.8055000000000214,
7,58.77642208337784,64,0.773500000000025,
8,43.60114598274231,49,0.7490000000000276,
9,65.18997603654861,72,0.7130000000000316,
10,38.37303787469864,44,0.691000000000034,
11,109.60061204433441,115,0.6335000000000404,
12,35.56993192434311,41,0.6130000000000426,
13,117.33311414718628,123,0.5515000000000494,
14,31.017947733402252,37,0.5330000000000514,
15,50.11868757009506,56,0.5050000000000545,
16,63.48962074518204,70,0.47000000000005504,
17,52.061463594436646,58,0.441000000000055,
18,75.27983140945435,81,0.400500000000055,
19,74.7772770524025,80,0.36050000000005494,
20,114.17598330974579,121,0.3000000000000549,
21,35.49990463256836,42,0.27900000000005487,
22,106.76636123657227,113,0.22250000000005482,
23,108.45857322216034,114,0.16550000000005477,
24,81.34311550855637,88,0.12150000000005473,
25,67.16569554805756,74,0.0845000000000547,
26,274.2324310541153,282,0.05,
27,69.87972646951675,77,0.05,
28,104.76628041267395,112,0.05,
29,245.9794021844864,254,0.05,
30,66.35148972272873,72,0.05,
31,86.71533805131912,94,0.05,
32,61.467916786670685,69,0.05,
33,65.37288123369217,73,0.05,
34,177.61115366220474,186,0.05,
35,206.74373072385788,216,0.05,
36,112.79935961961746,120,0.05,
37,241.20258259773254,248,0.05,
38,51.38708454370499,59,0.05,
39,108.66444671154022,117,0.05,
40,91.96334230899811,99,0.05,
41,88.81738871335983,97,0.05,
42,127.14696770906448,136,0.05,
43,460.68770825862885,469,0.05,
44,89.3947536945343,96,0.05,
45,118.55582708120346,127,0.05,
46,155.6607494354248,164,0.05,
47,393.91020292043686,407,0.05,
48,498.92942732572556,500,0.05,
49,493.9184429049492,500,0.05,
50,499.49715292453766,500,0.05,
51,499.3021587729454,500,0.05,
52,497.9205845594406,500,0.05,
53,498.7152515053749,500,0.05,
54,499.1527846455574,500,0.05,
55,499.80103039741516,500,0.05,
56,499.0078026652336,500,0.05,
57,499.3667775988579,500,0.05,
58,499.0388916730881,500,0.05,
59,499.46878600120544,500,0.05,
60,499.31720012426376,500,0.05,
61,499.8376461863518,500,0.05,
62,499.83517533540726,500,0.05,
63,499.6599909067154,500,0.05,
64,499.761966586113,500,0.05,
65,499.77955400943756,500,0.05,
66,499.79581636190414,500,0.05,
67,499.87350457906723,500,0.05,
68,499.787870824337,500,0.05,
69,499.7683134675026,500,0.05,
70,499.05858385562897,500,0.05,
71,499.8125935792923,500,0.05,
72,499.9426526427269,500,0.05,
73,499.65923434495926,500,0.05,
74,499.6885634660721,500,0.05,
75,499.5622876882553,500,0.05,
76,499.00148659944534,500,0.05,
77,499.789579808712,500,0.05,
78,498.2664262652397,500,0.05,
79,499.68840223550797,500,0.05,
80,489.8551969528198,496,0.05,
81,499.9189667701721,500,0.05,
82,499.7928013205528,500,0.05,
83,499.7337935566902,500,0.05,
84,499.5532813668251,500,0.05,
85,498.94941425323486,500,0.05,
86,499.70986700057983,500,0.05,
87,498.5949077606201,500,0.05,
88,499.4779615998268,500,0.05,
89,498.3097544312477,500,0.05,
90,499.01048839092255,500,0.05,
91,498.09808427095413,500,0.05,
92,499.15631330013275,500,0.05,
93,498.3275537490845,500,0.05,
94,498.6984553337097,500,0.05,
95,499.12347799539566,500,0.05,
96,498.2448191642761,500,0.05,
97,498.9377167224884,500,0.05,
98,495.9299803972244,500,0.05,
99,499.1642035841942,500,0.05,
100,135.5577910542488,142,0.05,
101,498.8449957370758,500,0.05,
102,499.4353630542755,500,0.05,
103,499.28981351852417,500,0.05,
104,499.28945755958557,500,0.05,
105,498.56482595205307,500,0.05,
106,499.7368225455284,500,0.05,
107,498.96189111471176,500,0.05,
108,499.26299691200256,500,0.05,
109,90.02992635965347,97,0.05,
110,499.33423417806625,500,0.05,
111,499.4824405312538,500,0.05,
112,499.4492236971855,500,0.05,
113,499.18449395895004,500,0.05,
114,499.20362293720245,500,0.05,
115,499.1458447575569,500,0.05,
116,499.58229434490204,500,0.05,
117,499.79160141944885,500,0.05,
118,499.0156909227371,500,0.05,
119,499.2068598270416,500,0.05,
120,499.6920565366745,500,0.05,
121,44.409117221832275,51,0.05,
122,499.8593692779541,500,0.05,
123,499.85583770275116,500,0.05,
124,499.42300122976303,500,0.05,
125,499.72177135944366,500,0.05,
126,499.66202569007874,500,0.05,
127,499.88013792037964,500,0.05,
128,499.41342771053314,500,0.05,
129,499.5737307667732,500,0.05,
130,499.8022074699402,500,0.05,
131,499.81023305654526,500,0.05,
132,499.4048553109169,500,0.05,
133,126.29946500062943,133,0.05,
134,498.9637072086334,500,0.05,
135,88.60133349895477,95,0.05,
136,499.7284120321274,500,0.05,
137,499.4634255170822,500,0.05,
138,83.20189136266708,90,0.05,
139,499.71911734342575,500,0.05,
140,83.4234631061554,90,0.05,
141,499.6275840997696,500,0.05,
142,498.41435277462006,500,0.05,
143,499.74314719438553,500,0.05,
144,499.76726841926575,500,0.05,
145,499.51296949386597,500,0.05,
146,499.3545899987221,500,0.05,
147,498.5498269200325,500,0.05,
148,68.0912778377533,75,0.05,
149,499.63336956501007,500,0.05,
150,499.25297552347183,500,0.05,
151,499.69688349962234,500,0.05,
152,499.91629683971405,500,0.05,
153,150.25725257396698,157,0.05,
154,499.7635181546211,500,0.05,
155,499.3437723517418,500,0.05,
156,499.7564654946327,500,0.05,
157,499.30289101600647,500,0.05,
158,499.66191053390503,500,0.05,
159,499.6079413294792,500,0.05,
160,498.93505734205246,500,0.05,
161,499.2887549996376,500,0.05,
162,499.3710501194,500,0.05,
163,499.98082464933395,500,0.05,
164,499.8942050933838,500,0.05,
165,499.9588440656662,500,0.05,
166,499.7522690296173,500,0.05,
167,499.8123748898506,500,0.05,
168,499.495749771595,500,0.05,
169,499.9554186463356,500,0.05,
