episode,reward,steps,epsilon,loss
0,49.89557784795761,55,0.972500000000003,
1,20.936407685279846,26,0.9595000000000045,
2,46.89059126377106,52,0.9335000000000073,
3,88.38404077291489,94,0.8865000000000125,
4,33.95789611339569,39,0.8670000000000146,
5,60.84673398733139,66,0.8340000000000183,
6,75.82720297574997,81,0.7935000000000227,
7,41.01200711727142,46,0.7705000000000253,
8,28.888414561748505,34,0.7535000000000271,
9,31.476636171340942,37,0.7350000000000292,
10,27.899113178253174,33,0.718500000000031,
11,45.52414208650589,51,0.6930000000000338,
12,30.866785764694214,36,0.6750000000000358,
13,57.206794917583466,62,0.6440000000000392,
14,17.93553978204727,23,0.6325000000000405,
15,28.014895379543304,33,0.6160000000000423,
16,23.92269015312195,29,0.6015000000000439,
17,37.52999705076218,42,0.5805000000000462,
18,31.916238844394684,37,0.5620000000000482,
19,37.93461960554123,43,0.5405000000000506,
20,34.397625386714935,39,0.5210000000000528,
21,22.962171733379364,28,0.5070000000000543,
22,59.023766458034515,64,0.47500000000005504,
23,65.02837520837784,70,0.440000000000055,
24,42.14776599407196,47,0.416500000000055,
25,18.408468902111053,23,0.405000000000055,
26,31.391433238983154,36,0.38700000000005497,
27,20.07339298725128,25,0.37450000000005496,
28,26.45891624689102,31,0.35900000000005494,
29,29.138125479221344,34,0.3420000000000549,
30,18.350843608379364,23,0.3305000000000549,
31,37.228644490242004,42,0.3095000000000549,
32,17.973008692264557,23,0.2980000000000549,
33,25.41024136543274,30,0.2830000000000549,
34,22.309015095233917,27,0.26950000000005486,
35,31.367737233638763,36,0.25150000000005485,
36,28.019763112068176,33,0.23500000000005483,
37,41.43311542272568,46,0.2120000000000548,
38,14.276190519332886,19,0.2025000000000548,
39,25.24634540081024,30,0.1875000000000548,
40,30.495144486427307,35,0.17000000000005477,
41,76.9481143951416,82,0.12900000000005474,
42,40.32640594244003,45,0.10650000000005472,
43,42.35589975118637,47,0.0830000000000547,
44,14.356941998004913,19,0.07350000000005469,
45,18.453314423561096,23,0.06200000000005468,
46,20.326596915721893,25,0.05,
47,24.517299830913544,29,0.05,
48,25.583501279354095,30,0.05,
49,24.563655734062195,29,0.05,
50,19.490478694438934,24,0.05,
51,18.503600656986237,23,0.05,
52,61.87012940645218,67,0.05,
53,17.541847944259644,22,0.05,
54,18.47872292995453,23,0.05,
55,26.33975487947464,31,0.05,
56,32.37647819519043,37,0.05,
57,23.454265832901,28,0.05,
58,27.62140530347824,32,0.05,
59,15.405320703983307,20,0.05,
60,27.351985335350037,32,0.05,
61,20.340528547763824,25,0.05,
62,17.28157216310501,22,0.05,
63,93.02221292257309,99,0.05,
64,18.509668231010437,23,0.05,
65,29.684635639190674,34,0.05,
66,34.59649217128754,39,0.05,
67,14.377637147903442,19,0.05,
68,18.295511186122894,23,0.05,
69,17.050328314304352,22,0.05,
70,17.389743447303772,22,0.05,
71,28.469935953617096,33,0.05,
72,37.442401707172394,42,0.05,
73,38.42056727409363,43,0.05,
74,24.52574533224106,29,0.05,
75,30.665934801101685,35,0.05,
76,22.4178409576416,27,0.05,
77,27.489232540130615,32,0.05,
78,21.516149699687958,26,0.05,
79,58.08490765094757,63,0.05,
80,27.639686226844788,32,0.05,
81,43.29897439479828,48,0.05,
82,33.66534924507141,38,0.05,
83,67.68404245376587,73,0.05,
84,39.43063968420029,44,0.05,
85,18.450351655483246,23,0.05,
86,14.42050302028656,19,0.05,
87,27.322949469089508,32,0.05,
88,53.1119647026062,58,0.05,
89,28.637136220932007,33,0.05,
90,16.34042900800705,21,0.05,
91,40.541092932224274,45,0.05,
92,20.447134912014008,25,0.05,
93,18.635574400424957,23,0.05,
94,15.532259106636047,20,0.05,
95,25.62654983997345,30,0.05,
96,15.297112166881561,20,0.05,
97,40.54720026254654,45,0.05,
98,39.39828157424927,44,0.05,
99,15.498498737812042,20,0.05,
100,41.331530928611755,46,0.05,
101,57.119871973991394,62,0.05,
102,15.425107300281525,20,0.05,
103,50.113380551338196,55,0.05,
104,40.420439302921295,45,0.05,
105,13.301784336566925,18,0.05,
106,48.26730275154114,53,0.05,
107,26.48946964740753,31,0.05,
108,46.300053894519806,51,0.05,
109,14.344517946243286,19,0.05,
110,18.473256528377533,23,0.05,
111,40.39132446050644,45,0.05,
112,20.28869926929474,25,0.05,
113,61.06106847524643,66,0.05,
114,36.594479858875275,41,0.05,
115,21.26855218410492,26,0.05,
116,69.47103255987167,75,0.05,
117,14.447564959526062,19,0.05,
118,97.01111489534378,103,0.05,
119,18.27514672279358,23,0.05,
120,31.638472735881805,36,0.05,
121,26.631629288196564,31,0.05,
122,40.41027235984802,45,0.05,
123,46.249469459056854,51,0.05,
124,16.37305837869644,21,0.05,
125,20.336450159549713,25,0.05,
126,34.576312720775604,39,0.05,
127,60.013214468955994,65,0.05,
128,31.33040326833725,36,0.05,
129,41.34494209289551,46,0.05,
130,21.27937215566635,26,0.05,
131,41.27789771556854,46,0.05,
132,49.12242537736893,54,0.05,
133,29.669314742088318,34,0.05,
134,47.298969745635986,52,0.05,
135,62.98072820901871,68,0.05,
136,44.26031070947647,49,0.05,
137,26.43390941619873,31,0.05,
138,27.664016842842102,32,0.05,
139,45.22629922628403,50,0.05,
140,24.420396268367767,29,0.05,
141,19.206491589546204,24,0.05,
142,44.275651812553406,49,0.05,
143,60.81506872177124,66,0.05,
144,52.12892347574234,57,0.05,
145,29.45750516653061,34,0.05,
146,21.405491411685944,26,0.05,
147,31.557498157024384,36,0.05,
148,15.281538963317871,20,0.05,
149,26.475212037563324,31,0.05,
150,71.76202791929245,77,0.05,
151,34.56939947605133,39,0.05,
152,24.5380956530571,29,0.05,
153,27.512668073177338,32,0.05,
154,71.53031378984451,78,0.05,
155,15.273449063301086,20,0.05,
156,25.554855346679688,30,0.05,
157,16.31926840543747,21,0.05,
158,25.60066121816635,30,0.05,
159,20.620917856693268,25,0.05,
160,29.471704065799713,34,0.05,
161,36.56760734319687,41,0.05,
162,24.430843889713287,29,0.05,
163,67.78951489925385,73,0.05,
164,23.435218036174774,28,0.05,
165,24.23461151123047,29,0.05,
166,41.43044048547745,46,0.05,
167,37.589171051979065,42,0.05,
168,33.51182895898819,38,0.05,
169,65.90159660577774,71,0.05,
170,21.30816388130188,26,0.05,
171,38.4814258813858,43,0.05,
172,17.22098457813263,22,0.05,
173,29.538622200489044,34,0.05,
174,29.471563816070557,34,0.05,
175,22.355914771556854,27,0.05,
176,25.436743795871735,30,0.05,
177,48.24533951282501,53,0.05,
178,40.37487244606018,45,0.05,
179,31.608148157596588,36,0.05,
180,40.380415856838226,45,0.05,
181,34.519209027290344,39,0.05,
182,20.350868940353394,25,0.05,
183,22.523320138454437,27,0.05,
184,19.597489595413208,24,0.05,
185,29.674076795578003,34,0.05,
186,24.540044605731964,29,0.05,
187,13.383511006832123,18,0.05,
188,37.57546150684357,42,0.05,
189,48.28547519445419,53,0.05,
190,69.06806635856628,75,0.05,
191,21.572411119937897,26,0.05,
192,18.52312535047531,23,0.05,
193,41.29583406448364,46,0.05,
194,17.27317500114441,22,0.05,
195,31.496679544448853,36,0.05,
196,13.345016896724701,18,0.05,
197,51.8931097984314,57,0.05,
198,43.310682475566864,48,0.05,
199,62.0013547539711,67,0.05,
200,19.27379333972931,24,0.05,
201,32.46629875898361,37,0.05,
202,34.537714421749115,39,0.05,
203,27.361066579818726,32,0.05,
204,17.50758820772171,22,0.05,
205,29.318766713142395,34,0.05,
206,27.495259046554565,32,0.05,
207,17.521733283996582,22,0.05,
208,42.292301058769226,47,0.05,
209,44.407363295555115,49,0.05,
210,20.320427358150482,25,0.05,
211,23.349039256572723,28,0.05,
212,14.265438199043274,19,0.05,
213,37.488412499427795,42,0.05,
214,27.421513378620148,32,0.05,
215,35.50462293624878,40,0.05,
216,24.497163355350494,29,0.05,
217,17.371279776096344,22,0.05,
218,30.360880851745605,35,0.05,
219,117.17209845781326,123,0.05,
220,20.449938118457794,25,0.05,
221,34.61116987466812,39,0.05,
222,34.53466618061066,39,0.05,
223,18.306583404541016,23,0.05,
224,34.59308534860611,39,0.05,
225,23.40965986251831,28,0.05,
226,27.61436527967453,32,0.05,
227,32.54907566308975,37,0.05,
228,33.532941460609436,38,0.05,
229,104.12662982940674,110,0.05,
230,17.198663771152496,22,0.05,
231,116.16404408216476,122,0.05,
232,15.347654938697815,20,0.05,
233,32.585954427719116,37,0.05,
234,17.185081481933594,22,0.05,
235,55.171843230724335,60,0.05,
236,14.360595345497131,19,0.05,
237,16.324503302574158,21,0.05,
238,27.28122651576996,32,0.05,
239,24.334649860858917,29,0.05,
240,28.554381489753723,33,0.05,
241,28.520580172538757,33,0.05,
242,18.267788648605347,23,0.05,
243,39.514099180698395,44,0.05,
244,78.15607821941376,84,0.05,
245,15.31791341304779,20,0.05,
246,31.678550958633423,36,0.05,
247,34.65472638607025,39,0.05,
248,68.83342117071152,74,0.05,
249,35.47143852710724,40,0.05,
250,30.304117500782013,35,0.05,
251,28.43086177110672,33,0.05,
252,31.610814094543457,36,0.05,
253,44.264989376068115,49,0.05,
254,19.35987627506256,24,0.05,
255,19.462328553199768,24,0.05,
256,17.46058487892151,22,0.05,
257,33.393016278743744,38,0.05,
258,24.67727965116501,29,0.05,
259,24.650668025016785,29,0.05,
260,55.03409802913666,60,0.05,
261,33.431469321250916,38,0.05,
262,33.32230597734451,38,0.05,
263,33.304703652858734,38,0.05,
264,25.20787638425827,30,0.05,
265,16.332101345062256,21,0.05,
266,21.370874345302582,26,0.05,
267,53.10257464647293,58,0.05,
268,56.87993007898331,62,0.05,
269,39.42689919471741,44,0.05,
270,16.411455810070038,21,0.05,
271,39.30144506692886,44,0.05,
272,59.01569312810898,64,0.05,
273,21.35370934009552,26,0.05,
274,44.37144356966019,49,0.05,
275,20.655927181243896,25,0.05,
276,30.46442002058029,35,0.05,
277,14.429838120937347,19,0.05,
278,38.4185004234314,43,0.05,
279,21.463581442832947,26,0.05,
280,40.3867130279541,45,0.05,
281,23.31640326976776,28,0.05,
282,29.346531927585602,34,0.05,
283,38.29550874233246,43,0.05,
284,27.59958779811859,32,0.05,
285,22.491320252418518,27,0.05,
286,51.040001690387726,56,0.05,
287,25.608356177806854,30,0.05,
288,37.52789008617401,42,0.05,
289,43.37454789876938,48,0.05,
290,31.414780616760254,36,0.05,
291,17.31274801492691,22,0.05,
292,12.50012755393982,17,0.05,
293,17.18948668241501,22,0.05,
294,19.208122193813324,24,0.05,
295,58.984481513500214,64,0.05,
296,16.58858162164688,21,0.05,
297,26.598784744739532,31,0.05,
298,43.3746155500412,48,0.05,
299,20.36035841703415,25,0.05,
300,35.467711329460144,40,0.05,
301,100.063083589077,106,0.05,
302,103.11159324645996,109,0.05,
303,16.399470567703247,21,0.05,
304,35.48832827806473,40,0.05,
305,21.30966019630432,26,0.05,
306,52.10995531082153,57,0.05,
307,34.450693011283875,39,0.05,
308,36.33170473575592,41,0.05,
309,73.46302407979965,79,0.05,
